2026-07-25 23:06:07 | INFO     | aria | Starting ARIA (v0.1.0)...
2026-07-25 23:06:07 | INFO     | aria.core | Initializing ARIA v0.1.0 [development]...
2026-07-25 23:06:07 | INFO     | aria.core | Core engine initialization completed successfully.
2026-07-25 23:06:07 | INFO     | aria.core | ARIA Engine started.
2026-07-25 23:06:07 | INFO     | aria.ui | Starting ARIA CLI Interface...
2026-07-26 09:11:46 | INFO     | aria | Starting ARIA (v0.1.0)...
2026-07-26 09:11:46 | INFO     | aria.core | Initializing ARIA v0.1.0 [development]...
2026-07-26 09:11:46 | INFO     | aria.core | Registering Session Manager & LLM subsystem...
2026-07-26 09:11:46 | INFO     | aria.core | Core engine initialization completed successfully.
2026-07-26 09:11:46 | INFO     | aria.core.session_manager | Created session 'default'.
2026-07-26 09:11:46 | INFO     | aria.core | ARIA Engine started.
2026-07-26 09:11:46 | INFO     | aria.ui | Starting ARIA CLI Interface...
